estacion,fecha,hora,Temperature,humedad,Pressure,windspeed,winddiraction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
smooy,2023-01-09,01:00,288.9,66.72,995.25,4.11,260.37,0.0,0.0,0.0,0.0
smooy,2023-01-09,02:00,288.31,70.58,995.46,3.3,264.97,0.0,0.0,0.0,0.0
smooy,2023-01-09,03:00,287.71,74.45,995.68,2.53,272.45,0.0,0.0,0.0,0.0
smooy,2023-01-09,04:00,287.68,73.86,995.99,2.65,263.16,0.0,0.0,0.0,0.0
smooy,2023-01-09,05:00,287.65,73.28,996.3,2.84,254.91,0.0,0.0,0.0,0.0
smooy,2023-01-09,06:00,287.62,72.7,996.6,3.08,247.82,0.0,0.0,0.0,0.0
smooy,2023-01-09,07:00,288.53,69.58,997.16,3.32,262.75,0.0,0.0,0.0,0.0
smooy,2023-01-09,08:00,289.44,66.47,997.72,3.74,274.99,0.0,0.0,0.0,14.3906
smooy,2023-01-09,09:00,290.35,63.35,998.28,4.3,284.4,0.0,0.0,0.0,102.9758
smooy,2023-01-09,10:00,291.56,57.9,998.58,5.75,295.42,0.0,0.0,0.0,212.452
smooy,2023-01-09,11:00,292.77,52.46,998.88,7.33,301.87,0.0,0.0,0.0,320.4999
smooy,2023-01-09,12:00,293.99,47.01,999.18,8.96,306.0,0.0,0.0,0.0,376.1427
smooy,2023-01-09,13:00,293.76,45.64,999.2,8.98,308.51,0.0,0.0,0.0,395.721
smooy,2023-01-09,14:00,293.53,44.27,999.22,9.01,311.0,0.0,0.0,0.0,375.0204
smooy,2023-01-09,15:00,293.31,42.91,999.23,9.06,313.47,0.0,0.0,0.0,283.7848
smooy,2023-01-09,16:00,291.82,47.34,999.89,7.56,314.97,0.0,0.0,0.0,172.5206
smooy,2023-01-09,17:00,290.34,51.77,1000.55,6.07,317.21,0.0,0.0,0.0,53.6087
smooy,2023-01-09,18:00,288.86,56.2,1001.21,4.59,320.91,0.0,0.0,0.0,0.0
smooy,2023-01-09,19:00,287.92,59.16,1001.88,3.79,320.33,0.0,0.0,0.0,0.0
smooy,2023-01-09,20:00,286.98,62.12,1002.54,2.99,319.45,0.0,0.0,0.0,0.0
smooy,2023-01-09,21:00,286.03,65.08,1003.2,2.19,317.92,0.0,0.0,0.0,0.0
smooy,2023-01-09,22:00,285.67,66.69,1003.47,2.06,311.37,0.0,0.0,0.0,0.0
smooy,2023-01-09,23:00,285.3,68.31,1003.75,1.95,304.02,0.0,0.0,0.0,0.0
smooy,2023-01-09,00:00,284.94,69.93,1004.02,1.88,295.98,0.0,0.0,0.0,0.0
smooy,2023-01-10,01:00,284.55,71.75,1004.26,1.83,299.26,0.0,0.0,0.0,0.0
smooy,2023-01-10,02:00,284.16,73.57,1004.49,1.79,302.72,0.0,0.0,0.0,0.0
smooy,2023-01-10,03:00,283.77,75.4,1004.72,1.75,306.35,0.0,0.0,0.0,0.0
smooy,2023-01-10,04:00,283.55,76.08,1004.8,1.66,300.01,0.0,0.0,0.0,0.0
smooy,2023-01-10,05:00,283.32,76.76,1004.88,1.59,293.04,0.0,0.0,0.0,0.0
smooy,2023-01-10,06:00,283.1,77.44,1004.96,1.55,285.57,0.0,0.0,0.0,0.0
smooy,2023-01-10,07:00,284.15,72.64,1005.34,1.49,291.81,0.0,0.0,0.0,0.0
smooy,2023-01-10,08:00,285.2,67.84,1005.72,1.45,298.5,0.0,0.0,0.0,21.3577
smooy,2023-01-10,09:00,286.25,63.04,1006.1,1.43,305.46,0.0,0.0,0.0,144.3963
smooy,2023-01-10,10:00,287.75,57.7,1005.96,1.68,294.02,0.0,0.0,0.0,282.4212
smooy,2023-01-10,11:00,289.25,52.36,1005.82,1.98,285.8,0.0,0.0,0.0,408.1248
smooy,2023-01-10,12:00,290.75,47.02,1005.68,2.32,279.84,0.0,0.0,0.0,467.6745
smooy,2023-01-10,13:00,291.22,44.18,1005.04,2.11,288.19,0.0,0.0,0.0,480.9315
smooy,2023-01-10,14:00,291.69,41.34,1004.39,1.95,298.13,0.0,0.0,0.0,446.1429
smooy,2023-01-10,15:00,292.16,38.5,1003.75,1.86,309.39,0.0,0.0,0.0,338.1075
smooy,2023-01-10,16:00,290.39,43.72,1003.77,1.57,302.03,0.0,0.0,0.0,206.6329
smooy,2023-01-10,17:00,288.61,48.94,1003.78,1.32,291.65,0.0,0.0,0.0,66.4141
smooy,2023-01-10,18:00,286.84,54.16,1003.8,1.14,277.2,0.0,0.0,0.0,0.0
smooy,2023-01-10,19:00,286.57,54.66,1004.04,1.31,283.07,0.0,0.0,0.0,0.0
smooy,2023-01-10,20:00,286.3,55.17,1004.28,1.5,287.51,0.0,0.0,0.0,0.0
smooy,2023-01-10,21:00,286.03,55.68,1004.52,1.69,290.95,0.0,0.0,0.0,0.0
smooy,2023-01-10,22:00,285.51,58.27,1004.2,1.62,297.06,0.0,0.0,0.0,0.0
smooy,2023-01-10,23:00,284.99,60.85,1003.89,1.57,303.67,0.0,0.0,0.0,0.0
smooy,2023-01-10,00:00,284.48,63.44,1003.57,1.54,310.63,0.0,0.0,0.0,0.0
smooy,2023-01-11,01:00,284.2,64.36,1003.24,1.69,309.94,0.0,0.0,0.0,0.0
smooy,2023-01-11,02:00,283.93,65.28,1002.91,1.84,309.37,0.0,0.0,0.0,0.0
smooy,2023-01-11,03:00,283.66,66.19,1002.58,1.99,308.89,0.0,0.0,0.0,0.0
smooy,2023-01-11,04:00,283.4,67.6,1002.46,2.12,311.6,0.0,0.0,0.0,0.0
smooy,2023-01-11,05:00,283.13,69.01,1002.35,2.25,313.99,0.0,0.0,0.0,0.0
smooy,2023-01-11,06:00,282.87,70.42,1002.23,2.39,316.12,0.0,0.0,0.0,0.0
smooy,2023-01-11,07:00,283.61,67.85,1002.71,2.55,316.58,0.0,0.0,0.0,0.0
smooy,2023-01-11,08:00,284.36,65.28,1003.19,2.7,316.97,0.0,0.0,0.0,20.7455
smooy,2023-01-11,09:00,285.1,62.71,1003.67,2.86,317.33,0.0,0.0,0.0,140.3314
smooy,2023-01-11,10:00,286.76,57.18,1003.54,3.35,317.66,0.0,0.0,0.0,278.6572
smooy,2023-01-11,11:00,288.41,51.66,1003.41,3.84,317.9,0.0,0.0,0.0,408.4818
smooy,2023-01-11,12:00,290.07,46.13,1003.28,4.32,318.09,0.0,0.0,0.0,469.0185
smooy,2023-01-11,13:00,290.8,43.3,1002.54,5.42,324.05,0.0,0.0,0.0,483.4575
smooy,2023-01-11,14:00,291.53,40.47,1001.8,6.56,327.98,0.0,0.0,0.0,449.6985
smooy,2023-01-11,15:00,292.26,37.64,1001.07,7.72,330.73,0.0,0.0,0.0,338.0529
smooy,2023-01-11,16:00,290.84,43.55,1001.57,7.45,335.34,0.0,0.0,0.0,204.949
smooy,2023-01-11,17:00,289.41,49.45,1002.07,7.23,340.25,0.0,0.0,0.0,65.9175
smooy,2023-01-11,18:00,287.99,55.36,1002.57,7.07,345.43,0.0,0.0,0.0,0.0
smooy,2023-01-11,19:00,287.38,58.5,1003.14,5.92,339.09,0.0,0.0,0.0,0.0
smooy,2023-01-11,20:00,286.77,61.64,1003.71,4.89,329.88,0.0,0.0,0.0,0.0
smooy,2023-01-11,21:00,286.15,64.78,1004.28,4.04,316.31,0.0,0.0,0.0,0.0
smooy,2023-01-11,22:00,285.6,67.51,1004.71,3.29,317.66,0.0,0.0,0.0,0.0
